clave	concepto	unidad	precio
BF16EB	Excavación a mano, material clase III, de 0.00 a 2.00 m de profundidad.	m3	1,155.66
BF16EC	Excavación a mano, material clase III, de 2.01 a 4.00 m de profundidad.	m3	1,366.11
BF16ED	Excavación a mano, material clase III, de 4.01 a 6.00 m de profundidad.	m3	1,639.35
BF17B	Excavación a mano para formación de zanjas en zona "A", material clase I, en terreno saturado, incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF17BB	Excavación a mano, zona "A", material saturado clase I, en terreno saturado, de 0.00 a 2.00 m de profundidad.	m3	148.94
BF17BC	Excavación a mano, zona "A", material saturado clase I, en terreno saturado, de 2.01 a 4.00 m de profundidad.	m3	242.91
BF17BD	Excavación a mano, zona "A", material saturado clase I, en terreno saturado, de 4.01 a 6.00 m de profundidad.	m3	340.55
BF17C	Excavación a mano para formación de zanjas, en zona "A" material clase II, en material saturado, incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF17CB	Excavación a mano, zona "A", material clase II, saturado, de 0.00 a 2.00 m de profundidad.	m3	216.24
BF17CC	Excavación a mano, zona "A", material clase II, saturado, de 2.01 a 4.00 m de profundidad.	m3	318.22
BF17CD	Excavación a mano, zona "A", material clase II, saturado, de 4.01 a 6.00 m de profundidad.	m3	424.23
BF18B	Excavación a mano para formación de zanjas en zona "B", en terreno saturado, incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF18BB	Excavación a mano, zona "B", en terreno saturado, de 0.00 a 2.00 m de profundidad.	m3	176.39
BF18BC	Excavación a mano, zona "B", en terreno saturado, de 2.01 a 4.00 m de profundidad.	m3	270.67
BF18BD	Excavación a mano, zona "B", en terreno saturado, de 4.01 a 6.00 m de profundidad.	m3	368.53
BF18C	Excavación a mano para formación de zanjas en zona "B", clase II, en material saturado, incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF18CB	Excavación a mano, zona "B", material clase II, saturado, de 0.00 a 2.00 m de profundidad.	m3	257.80
BF18CC	Excavación a mano, zona "B", material clase II, saturado, de 2.01 a 4.00 m de profundidad.	m3	360.59
BF18CD	Excavación a mano, zona "B", material clase II, saturado, de 4.01 a 6.00 m de profundidad.	m3	466.60
BF19B	Excavación a mano para formación de zanjas en zona "C", en terreno saturado, incluye: afine, traspaleos, y extracción a borde de zanja, medido en banco.		
BF19BB	Excavación a mano, zona "C", en terreno saturado, de 0.00 a 2.00 m de profundidad.	m3	212.81
BF19BC	Excavación a mano, zona "C", en terreno saturado, de 2.01 a 4.00 m de profundidad.	m3	307.73
BF19BD	Excavación a mano, zona "C", en terreno saturado, de 4.01 a 6.00 m de profundidad.	m3	405.61
BF19C	Excavación a mano para formación de zanjas en zona "C", clase II, en material saturado, incluye: afine, traspaleos y extracción a borde de zanja, medido en banco.		
BF19CB	Excavación a mano, zona "C", material clase II, saturado, de 0.00 a 2.00 m de profundidad.	m3	304.68
BF19CC	Excavación a mano, zona "C", material clase II, saturado, de 2.01 a 4.00 m de profundidad.	m3	408.35
BF19CD	Excavación a mano, zona "C", material clase II, saturado, de 4.01 a 6.00 m de profundidad.	m3	514.37
BG	Excavaciones por medios mecánicos, en terrenos seco y saturado, en zonas "A" "B" y "C", materiales clases "I, II, II-A y III", con extracción al nivel del terreno natural, incluye: el suministro de los materiales en la parte proporcional que le corresponda para las señales; la mano de obra para el apoyo en las operaciones mecánicas, afine de taludes y fondo de la zanja, limpieza, la maquinaria, el equipo y la herramienta necesarios. Norma de Construcción de la Administración Pública de la Ciudad de México 3.01.01.006		
BG12B	Excavación por medios mecánicos para formación de zanjas en terreno seco con ancho de zanja menores o iguales a 1.20 m, en zona "A", material clase I, con extracción a borde de zanja, medido en banco.		
BG12BB	Excavación por medios mecánicos, zona "A", material clase I, de 0.00 a 2.00 m de profundidad.	m3	47.13
BG12BC	Excavación por medios mecánicos, zona "A", material clase I, de 2.01 a 4.00 m de profundidad.	m3	66.76
BG12BD	Excavación por medios mecánicos, zona "A", material clase I, de 4.01 a 6.00 m de profundidad.	m3	89.01
BG12C	Excavación por medios mecánicos para formación de zanjas en terreno seco con ancho de zanja menores o iguales a 1.20 m, en zona "A", material clase II, con extracción a borde de zanja, medido en banco.		
BG12CB	Excavación por medios mecánicos, zona "A", material clase II, de 0.00 a 2.00 m de profundidad.	m3	66.76
BG12CC	Excavación por medios mecánicos, zona "A", material clase II, de 2.01 a 4.00 m de profundidad.	m3	89.01
BG12CD	Excavación por medios mecánicos, zona "A", material clase II, de 4.01 a 6.00 m de profundidad.	m3	114.46
BG13B	Excavación por medios mecánicos para formación de zanjas en terreno seco con ancho de zanja menores o iguales a 1.20 m, en zona "B", material clase I, con extracción a borde de zanja, medido en banco.		
BG13BB	Excavación por medios mecánicos, zona "B", material clase I, de 0.00 a 2.00 m de profundidad.	m3	57.23
BG13BC	Excavación por medios mecánicos, zona "B", material clase I, de 2.01 a 4.00 m de profundidad.	m3	84.33
BG13BD	Excavación por medios mecánicos, zona "B", material clase I, de 4.01 a 6.00 m de profundidad.	m3	110.49
BG13C	Excavación por medios mecánicos para formación de zanjas en terreno seco con ancho de zanja menores o iguales a 1.20 m, en zona "B", material clase II, con extracción a borde de zanja, medido en banco.		
BG13CB	Excavación por medios mecánicos, zona "B", material clase II, de 0.00 a 2.00 m de profundidad.	m3	80.10
BG13CC	Excavación por medios mecánicos, zona "B", material clase II, de 2.01 a 4.00 m de profundidad.	m3	106.82
BG13CD	Excavación por medios mecánicos, zona "B", material clase II, de 4.01 a 6.00 m de profundidad.	m3	133.52
BG14B	Excavación por medios mecánicos para formación de zanjas en terreno seco con ancho de zanja menores o iguales a 1.20 m, en zona "C", material clase I, con extracción a borde de zanja, medido en banco.		
BG14BB	Excavación por medios mecánicos, zona "C", material clase I, de 0.00 a 2.00 m de profundidad.	m3	72.84
BG14BC	Excavación por medios mecánicos, zona "C", material clase I, de 2.01 a 4.00 m de profundidad.	m3	103.37
BG14BD	Excavación por medios mecánicos, zona "C", material clase I, de 4.01 a 6.00 m de profundidad.	m3	133.52
BG14C	Excavación por medios mecánicos para formación de zanjas en terreno seco con ancho de zanja menores o iguales a 1.20 m, en zona "C", material clase II, con extracción a borde de zanja, medido en banco.		
BG14CB	Excavación por medios mecánicos, zona "C", material clase II, de 0.00 a 2.00 m de profundidad.	m3	100.15
BG14CC	Excavación por medios mecánicos, zona "C", material clase II, de 2.01 a 4.00 m de profundidad.	m3	133.52
BG14CD	Excavación por medios mecánicos, zona "C", material clase II, de 4.01 a 6.00 m de profundidad.	m3	172.28
BG15B	Excavación por medios mecánicos para formación de zanjas mayores a 1.20 m, en terreno seco, en zona "A", material clase I, con extracción a borde de zanja, medido en banco.		
BG15BB	Excavación por medios mecánicos, zona "A", material clase I, de 0.00 a 2.00 m de profundidad.	m3	29.21
BG15BC	Excavación por medios mecánicos, zona "A", material clase I, de 2.01 a 4.00 m de profundidad.	m3	36.53
BG15BD	Excavación por medios mecánicos, zona "A", material clase I, de 4.01 a 6.00m de profundidad.	m3	54.78
BG15BE	Excavación por medios mecánicos, zona "A", material clase I, de 6.01 a8.00 m de profundidad.	m3	60.85
BG15BF	Excavación por medios mecánicos, zona "A", material clase I, de 8.01 a 10.00 m de profundidad.	m3	62.60
BG15C	Excavación por medios mecánicos para formación de zanjas en terreno seco, en zona "A", material clase II, con extracción a borde de zanja, medido en banco.		
BG15CB	Excavación por medios mecánicos, zona "A", material clase II, de 0.00 a 2.00 m de profundidad.	m3	40.59
BG15CC	Excavación por medios mecánicos, zona "A", material clase II, de 2.01 a 4.00 m de profundidad.	m3	49.78
BG15CD	Excavación por medios mecánicos, zona "A", material clase II, de 4.01 a 6.00 m de profundidad.	m3	73.03
BG15CE	Excavación por medios mecánicos, zona "A", material clase II, de 6.01 a 8.00 m de profundidad.	m3	75.56
BG15CF	Excavación por medios mecánicos, zona "A", material clase II, de 8.01 a 10.00 m de profundidad.	m3	81.16
BG16B	Excavación por medios mecánicos para formación de zanjas en terreno seco, en zona "B", material clase I, con extracción a borde de zanja, medido en banco.		
BG16BB	Excavación por medios mecánicos, zona "B", material clase I, de 0.00 a 2.00 m de profundidad.	m3	35.33
BG16BC	Excavación por medios mecánicos, zona "B", material clase I, de 2.01 a 4.00 m de profundidad.	m3	43.81
BG16BD	Excavación por medios mecánicos, zona "B", material clase I, de 4.01 a 6.00 m de profundidad.	m3	64.44
BG16BE	Excavación por medios mecánicos, zona "B", material clase I, de 6.01 a 8.00 m de profundidad.	m3	66.39
BG16BF	Excavación por medios mecánicos, zona "B", material clase I, de 8.01 a 10.00 m de profundidad.	m3	70.68
BG16C	Excavación por medios mecánicos para formación de zanjas en terreno seco, en zona "B", material clase II, con extracción a borde de zanja, medido en banco.		
BG16CB	Excavación por medios mecánicos, zona "B", material clase II, de 0.00 a 2.00 m de profundidad.	m3	48.66
BG16CC	Excavación por medios mecánicos, zona "B", material clase II, de 2.01 a 4.00 m de profundidad.	m3	59.22
BG16CD	Excavación por medios mecánicos, zona "B", material clase II, de 4.01 a 6.00 m de profundidad.	m3	87.65
BG16CE	Excavación por medios mecánicos, zona "B", material clase II, de 6.01 a 8.00 m de profundidad.	m3	95.27
BG16CF	Excavación por medios mecánicos, zona "B", material clase II, de 8.01 a 10.00 m de profundidad.	m3	101.89
BG17B	Excavación por medios mecánicos para formación de zanjas en terreno seco, en zona "C", material clase I, con extracción a borde de zanja, medido en banco.		
BG17BB	Excavación por medios mecánicos, zona "C", material clase I, de 0.00 a 2.00 m de profundidad.	m3	42.12
BG17BC	Excavación por medios mecánicos, zona "C", material clase I, de 2.01 a 4.00 m de profundidad.	m3	52.78
BG17BD	Excavación por medios mecánicos, zona "C", material clase I, de 4.01 a 6.00 m de profundidad.	m3	78.25
BG17BE	Excavación por medios mecánicos, zona "C", material clase I, de 6.01 a8.00 m de profundidad.	m3	82.66
BG17BF	Excavación por medios mecánicos, zona "C", material clase I, de 8.01 a 10.00 m de profundidad.	m3	87.65
BG17C	Excavación por medios mecánicos para formación de zanjas en terreno seco, en zona "C", material clase II, con extracción a borde de zanja, medido en banco.		
BG17CB	Excavación por medios mecánicos, zona "C", material clase II, de 0.00 a 2.00 m de profundidad.	m3	59.85
BG17CC	Excavación por medios mecánicos, zona "C", material clase II, de 2.01 a 4.00 m de profundidad.	m3	73.03
BG17CD	Excavación por medios mecánicos, zona "C", material clase II, de 4.01 a 6.00 m de profundidad.	m3	106.88
BG17CE	Excavación por medios mecánicos, zona "C", material clase II, de 6.01 a 8.00 m de profundidad.	m3	116.54
BG17CF	Excavación por medios mecánicos, zona "C", material clase II, de 8.01 a 10.00 m de profundidad.	m3	136.94
BG18D	Excavación para formación de zanjas, en cualquier zona, en material tipo II-A, con equipo neumático, incluye: materiales de consumo, extracción al borde de la zanja, medido en banco.		
BG18DB	Excavación con equipo neumático, material II-A, de 0.00 a 2.00 m de profundidad.	m3	251.61
BG18DC	Excavación con equipo neumático, material II-A, de 2.01 a 4.00 m de profundidad.	m3	343.35
BG18DD	Excavación con equipo neumático, material II-A de 4.01 a 6.00 m de profundidad.	m3	457.74
BG18E	Excavación para formación de zanjas, en cualquier zona, en material tipo III, con equipo neumático incluye: materiales de consumo, mano de obra en perforación, uso de cuña y marro, afloje y extracción a borde de la zanja, medido en banco.		
BG18EB	Excavación con equipo neumático, material III, de 0.00 a 2.00 m de profundidad.	m3	881.50
BG18EC	Excavación con equipo neumático, material III, de 2.01 a 4.00 m de profundidad.	m3	1,020.34
BG18ED	Excavación con equipo neumático, material III de 4.01 a 6.00 m de profundidad.	m3	1,252.55
BG19B	Excavación por medios mecánicos para formación de zanjas, en zona "A", en terreno saturado, con extracción a borde de zanja, medido en banco.		
BG19BB	Excavación por medios mecánicos, zona "A", en terreno saturado, de 0.00 a 2.00 m de profundidad.	m3	35.33
BG19BC	Excavación por medios mecánicos, zona "A", en terreno saturado, de 2.01 a 4.00 m de profundidad.	m3	44.72
BG19BD	Excavación por medios mecánicos, zona "A", en terreno saturado, de 4.01 a 6.00 m de profundidad.	m3	65.20
BG19BE	Excavación por medios mecánicos, zona "A", en terreno saturado, de 6.01 a 8.00 m de profundidad.	m3	68.46
BG19BF	Excavación por medios mecánicos, zona "A", en terreno saturado, de 8.01a 10.00 m de profundidad.	m3	72.06
BG19C	Excavación por medios mecánicos, para formación de zanjas en terreno saturado, en zona "A", material clase II, con extracción a borde de zanja, medido en banco.		
BG19CB	Excavación por medios mecánicos, zona "A", material clase II, saturado, de 0.00 a 2.00 m de profundidad.	m3	49.78
BG19CC	Excavación por medios mecánicos, zona "A", material clase II, saturado, de 2.01 a 4.00 m de profundidad.	m3	60.03
BG19CD	Excavación por medios mecánicos, zona "A", material clase II, saturado, de 4.01 a 6.00 m de profundidad.	m3	87.65
BG19CE	Excavación por medios mecánicos, zona "A", material clase II, saturado, de 6.01 a 8.00 m de profundidad.	m3	94.46
BG19CF	Excavación por medios mecánicos, zona "A", material clase II, saturado, de 8.01 a 10.00 m de profundidad.	m3	102.38
